               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13084,             0.04775,            0.056689,            0.015601,             0.03117,           0.0094583,           0.0021557,             0.11962,            0.039919,            0.049104,            0.070638,           0.0032624,           0.0032624
                   1,             0.11112,             0.05116,            0.041195,             0.07979,             0.17215,            0.073716,            0.022498,            0.099986,            0.048957,            0.034649,            0.040508,           0.0064651,           0.0064651
                   2,             0.10028,            0.053442,            0.035784,             0.10681,             0.20442,            0.094297,            0.035265,            0.096324,            0.041363,            0.031347,            0.010245,           0.0095359,           0.0095359
                   3,            0.095182,             0.05273,            0.032868,             0.18319,             0.19021,             0.11223,            0.046549,            0.089907,            0.040445,            0.028533,            0.009406,            0.009406,            0.009406
                   4,            0.089888,            0.053706,            0.030035,             0.70362,             0.13923,             0.18658,            0.083018,            0.083221,            0.040836,             0.02637,            0.009406,            0.009406,            0.009406
                   5,            0.085566,            0.051754,            0.027785,             0.22954,             0.29144,             0.21285,            0.089015,            0.078913,            0.039755,             0.02507,            0.009208,            0.009208,            0.009208
                   6,            0.083144,            0.051078,            0.025986,             0.62345,             0.21929,             0.23381,            0.099682,            0.082064,            0.039187,             0.02437,             0.00901,             0.00901,             0.00901
                   7,             0.08112,            0.051043,            0.024502,             0.17292,              0.3485,             0.25244,              0.1241,            0.078575,            0.038811,            0.023234,            0.008812,            0.008812,            0.008812
                   8,            0.079148,            0.050786,            0.024382,             0.23581,             0.38301,             0.26387,              0.1319,            0.076899,            0.038401,            0.022557,            0.008614,            0.008614,            0.008614
                   9,            0.077894,            0.051573,            0.022572,             0.26339,             0.37885,              0.3166,             0.16379,            0.071722,            0.038585,            0.022191,            0.008416,            0.008416,            0.008416
                  10,            0.077522,             0.05034,            0.021728,             0.26127,             0.38289,             0.33142,             0.16108,            0.073717,            0.038156,            0.021643,            0.008218,            0.008218,            0.008218
                  11,            0.076782,            0.052648,            0.021199,             0.30704,              0.3608,              0.3263,             0.16486,            0.070659,            0.038007,            0.021368,             0.00802,             0.00802,             0.00802
                  12,            0.074511,            0.049258,            0.020537,             0.31421,              0.4233,             0.36275,             0.18324,            0.069726,            0.037711,            0.020685,            0.007822,            0.007822,            0.007822
                  13,            0.074686,            0.050628,            0.019858,             0.30764,             0.39693,             0.35919,             0.18443,            0.068383,            0.037915,            0.021213,            0.007624,            0.007624,            0.007624
                  14,            0.074306,            0.050115,            0.019557,             0.34058,             0.35676,             0.34834,             0.16671,            0.069798,              0.0374,            0.020718,            0.007426,            0.007426,            0.007426
                  15,            0.071946,            0.048336,            0.018616,             0.40901,             0.35353,              0.3633,             0.18964,            0.069002,             0.03722,            0.019994,            0.007228,            0.007228,            0.007228
                  16,            0.071364,            0.048627,            0.018448,             0.51435,              0.3473,             0.38903,             0.21264,            0.067627,            0.037033,            0.020359,             0.00703,             0.00703,             0.00703
                  17,            0.071589,             0.04864,            0.018558,             0.66185,             0.35164,             0.40187,             0.21953,            0.066934,            0.037194,            0.019596,            0.006832,            0.006832,            0.006832
                  18,            0.070576,            0.048252,            0.017496,             0.69482,             0.34186,             0.40332,             0.21404,            0.067137,            0.037002,            0.019446,            0.006634,            0.006634,            0.006634
                  19,            0.071314,            0.048595,            0.017491,             0.41391,             0.46007,             0.42606,             0.22446,            0.068187,            0.037637,            0.018946,            0.006436,            0.006436,            0.006436
                  20,            0.070282,            0.048061,            0.017666,             0.50704,              0.4184,             0.43753,             0.22654,            0.067866,            0.037697,            0.018395,            0.006238,            0.006238,            0.006238
                  21,            0.070562,            0.048979,            0.016468,             0.42983,             0.44541,             0.43241,             0.23335,            0.066094,            0.037361,            0.018853,             0.00604,             0.00604,             0.00604
                  22,            0.068701,            0.046412,            0.017078,             0.48552,             0.43325,             0.44466,             0.24853,            0.066368,            0.037419,             0.01845,            0.005842,            0.005842,            0.005842
                  23,            0.068507,            0.047364,            0.016153,             0.44687,             0.46845,             0.44787,             0.24179,            0.066438,            0.037102,            0.018308,            0.005644,            0.005644,            0.005644
                  24,            0.068711,            0.047994,            0.016029,             0.47686,             0.46624,             0.44851,             0.24213,            0.065514,            0.036591,            0.018062,            0.005446,            0.005446,            0.005446
                  25,            0.067546,            0.046114,            0.015294,             0.54747,             0.45025,             0.46911,             0.25452,            0.064632,            0.037029,            0.017794,            0.005248,            0.005248,            0.005248
                  26,            0.068864,            0.048112,            0.015281,             0.60144,             0.43838,             0.47617,             0.26495,            0.064943,            0.036704,            0.017611,             0.00505,             0.00505,             0.00505
                  27,             0.06752,            0.048787,            0.015222,             0.50129,             0.46365,             0.46906,             0.24876,            0.065401,            0.036996,            0.017312,            0.004852,            0.004852,            0.004852
                  28,            0.066163,            0.046922,            0.014616,             0.55619,             0.45117,             0.49425,             0.26299,            0.065099,            0.036804,            0.016893,            0.004654,            0.004654,            0.004654
                  29,            0.066553,            0.045325,              0.0148,             0.51112,              0.4839,             0.48194,             0.26546,             0.06463,            0.036808,            0.017122,            0.004456,            0.004456,            0.004456
                  30,            0.065925,            0.046731,            0.014203,             0.56291,             0.48871,             0.49454,              0.2707,             0.06425,            0.036525,            0.017012,            0.004258,            0.004258,            0.004258
                  31,            0.066475,            0.047042,            0.014638,             0.55815,             0.49535,             0.50679,             0.27697,            0.064069,            0.036441,            0.016465,             0.00406,             0.00406,             0.00406
                  32,              0.0651,             0.04538,            0.014459,             0.52346,             0.54575,             0.50158,             0.27852,            0.063691,            0.036793,            0.016084,            0.003862,            0.003862,            0.003862
                  33,            0.064463,            0.047458,            0.014242,             0.57224,             0.50239,             0.49887,             0.28159,            0.063296,            0.036608,            0.016611,            0.003664,            0.003664,            0.003664
                  34,            0.065585,            0.047425,            0.014305,              0.5626,             0.51147,             0.50085,             0.28123,            0.063179,             0.03662,            0.017158,            0.003466,            0.003466,            0.003466
                  35,            0.064653,            0.044138,            0.014194,             0.55244,             0.50128,             0.50326,             0.27532,            0.064062,            0.037137,            0.017076,            0.003268,            0.003268,            0.003268
                  36,            0.064292,            0.045019,            0.013361,             0.61545,              0.4671,             0.50427,             0.28629,            0.062728,             0.03611,            0.016911,             0.00307,             0.00307,             0.00307
                  37,            0.065318,            0.046002,            0.013453,             0.58681,             0.51216,             0.51837,             0.28923,            0.062744,            0.036271,            0.016763,            0.002872,            0.002872,            0.002872
                  38,            0.064165,            0.045762,            0.013833,             0.58151,             0.53307,             0.51935,             0.29606,            0.062556,            0.036217,            0.016683,            0.002674,            0.002674,            0.002674
                  39,            0.063943,            0.044593,            0.013842,             0.57715,             0.51344,             0.50657,             0.28817,            0.062606,            0.036483,            0.016687,            0.002476,            0.002476,            0.002476
                  40,             0.06374,            0.046279,            0.013374,             0.60889,             0.51258,             0.50624,             0.28722,            0.062445,            0.036155,            0.016473,            0.002278,            0.002278,            0.002278
                  41,            0.063271,            0.044765,            0.013682,             0.60188,             0.54435,             0.52846,             0.29749,            0.062238,            0.036193,            0.016254,             0.00208,             0.00208,             0.00208
                  42,            0.063354,            0.045125,            0.013042,             0.58703,             0.54903,             0.53241,             0.29864,            0.062126,            0.036279,            0.016294,            0.001882,            0.001882,            0.001882
                  43,            0.062362,            0.043902,            0.013564,             0.63387,             0.52383,             0.51768,              0.2902,            0.062175,             0.03637,             0.01634,            0.001684,            0.001684,            0.001684
                  44,            0.062372,            0.042781,            0.012887,             0.58899,             0.53377,             0.52639,             0.29862,             0.06204,            0.036294,            0.016179,            0.001486,            0.001486,            0.001486
                  45,            0.061908,            0.043607,            0.013008,             0.57372,             0.54324,             0.52348,             0.30421,            0.061876,              0.0363,            0.016211,            0.001288,            0.001288,            0.001288
                  46,            0.063414,            0.047666,             0.01328,             0.62375,             0.54178,              0.5343,             0.30423,            0.061685,            0.035969,            0.016129,             0.00109,             0.00109,             0.00109
